file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00726_0120_801984_to_804736,ངའི་མི་ཚེའི་ཁྲོད་ཀྱི་ཆེས་དགའ་སྤྲོ་ལྡན་པའི་ཉིན་མོ་ཞིག་ཡིན་པས།  ,nga'i mi tshe'i khrod kyi ches dga' spro ldan pa'i nyin mo zhig yin pas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00726_0120_801984_to_804736.wav,STT_AB,2,62,2.752,wav16k/STT_AB00726_0120_801984_to_804736.wav,ངའི་མི་ཚེ་འཁྲོལ་ཀྱི་ཆེས་དགའ་སྤྲོ་ལྡན་པའི་ཉིན་མོ་ཞིག་ཡིན་པས།
STT_AB00316_1850_8981356_to_8983472,དེས་འབྲས་བུ་སྐྱེ་བར་ཕན་མི་ཐོགས་ཤིང་།  ,des 'bras bu skye bar phan mi thogs shing /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00316_1850_8981356_to_8983472.wav,STT_AB,2,38,2.116,wav16k/STT_AB00316_1850_8981356_to_8983472.wav,དེས་འབྲས་བུ་སྐྱེ་བར་ཕན་མི་ཐོགས་ཤིང་།
STT_AB00727_0003_13523_to_20093,མོ་རང་གིས་གཞོན་ནུ་དོན་གྲུབ་བྱང་ཆུབ་ཤིང་དྲུང་ན་ཞོགས་པའི་མཚར་སྡུག་མངོན་པ་ཇི་བཞིན་ཆེས་ཡིད་དུ་འོང་བར་བཞུགས་པ་མཇལ།  ,mo rang gis gzhon nu don grub byang chub shing drung na zhogs pa'i mtshar sdug mngon pa ji bzhin ches yid du 'ong bar bzhugs pa mjal/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00727_0003_13523_to_20093.wav,STT_AB,2,111,6.57,wav16k/STT_AB00727_0003_13523_to_20093.wav,མོ་རང་གིས་གཞོན་ནུ་དོན་གྲུབ་ྒྱང་ཆུབ་ཤིང་དྲུང་ནང་ཞོགས་པའས་ཚར་དུག་མངོན་པར་གྱིས་ཤིང་། ཆེས་ཡིད་དུ་འོང་བར་བཞུགས་པར་ྒྱལ།
STT_AB00727_0038_235008_to_238048,ལེགས་སྐྱེས་མས་དམིགས་བསལ་བསྙེན་བཀུར་གྱི་ཆེད་ཤིང་ཏོག་བེ་ཏའི་འབྲས་བུ་ ,legs skyes mas dmigs bsal bsnyen bkur gyi ched shing tog be ta'i 'bras bu _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00727_0038_235008_to_238048.wav,STT_AB,2,67,3.04,wav16k/STT_AB00727_0038_235008_to_238048.wav,ལེགས་སྐྱེས་མའི་དམིགས་བསལ་བསྙན་བཀུར་གྱི་བྱེད་ཤིང་ཏོག་བད་ཏའི་འབྲས་བུ།
STT_AB00316_1845_8960759_to_8962073,ཅེས་བརྩད་པའི་ལན་དུ།  ,ces brtsad pa'i lan du/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00316_1845_8960759_to_8962073.wav,STT_AB,2,21,1.314,wav16k/STT_AB00316_1845_8960759_to_8962073.wav,ཅེས་རྩད་པའི་ལན་དུ།
STT_AB00727_0044_266583_to_270743,གཞོན་ནུ་དོན་གྲུབ་ཀྱིས་དེ་དག་དགྱེས་བརྩེའི་ངང་ཡར་བླངས་ཏེ་ཕྲུ་གུ་ཚོ་དང་ལྷན་དུ་བཞེས།  ,gzhon nu don grub kyis de dag dgyes brtse'i ngang yar blangs te phru gu tsho dang lhan du bzhes/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00727_0044_266583_to_270743.wav,STT_AB,2,82,4.16,wav16k/STT_AB00727_0044_266583_to_270743.wav,གཞོན་ནུ་དོན་གྲུབ་ཀྱིས་དེ་དག་དགད་རྩའ་ངང་ཡར་བླངས་ཏེ། ཕྲུ་གུ་ཚོ་དང་ལྷན་དུ་བཞེས།
STT_AB00132_0077_343144_to_343785,མཁྱེན་ཡོན་དང་།  ,mkhyen yon dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00132_0077_343144_to_343785.wav,STT_AB,2,16,0.641,wav16k/STT_AB00132_0077_343144_to_343785.wav,མཁྱེན་ཡོན་དང་
STT_AB00727_0040_244704_to_247200,ཕྱིར་བྲུས་ཏེ་ཞིམ་མངར་ལྡན་པའི་རྡོ་ཀ་རར་སྤགས་ནས་ ,phyir brus te zhim mngar ldan pa'i rdo ka rar spags nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00727_0040_244704_to_247200.wav,STT_AB,2,47,2.496,wav16k/STT_AB00727_0040_244704_to_247200.wav,ཕྱིར་བྲུལ་ཏེ། གཞི་མ་བསྟན་པའི་རྡོ་ཀ་ར་དཔགས་ནས།
STT_AB00727_0005_26151_to_32568,སྤྱིར་ན་ལེགས་སྐྱེས་མས་གཞོན་ནུ་དོན་གྲུབ་ཆུ་ཚོད་བརྒྱ་ཕྲག་མང་པོའི་རིང་བྱང་ཆུབ་ཤིང་དྲུང་དུ་གཟི་བརྗིད་ལྡན་པའི་ངང་བཞུགས་པ་མཇལ་མྱོང་ཡོད་ནའང་།  ,spyir na legs skyes mas gzhon nu don grub chu tshod brgya phrag mang po'i ring byang chub shing drung du gzi brjid ldan pa'i ngang bzhugs pa mjal myong yod na'ang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00727_0005_26151_to_32568.wav,STT_AB,2,136,6.417,wav16k/STT_AB00727_0005_26151_to_32568.wav,སྤྱིར་ནང་ལེགས་སྐྱེས་མེི་གཞོན་ནུ་དོན་གྲུབ་ཆུ་ཚོད་བརྒྱ་ཕྲ་མང་པོའི་རིང་བྱང་ྱོས་ཤིང་སྡོང་དུ་གཟི་བརྗིད་ལྡན་པའི་ངང་བཞུགས་པ་མཇར་མྱོང་ཡོད་ན་ཡང་།
STT_AB00727_0006_34957_to_38216,སྐུ་གཟུགས་ནས་སྔར་དང་མི་འདྲ་བའི་ཐུན་མིན་གྱི་ཁྱད་ཆོས་ཤིག་མངོན་ཡོང་བ་མཇལ།  ,sku gzugs nas sngar dang mi 'dra ba'i thun min gyi khyad chos shig mngon yong ba mjal/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00727_0006_34957_to_38216.wav,STT_AB,2,72,3.259,wav16k/STT_AB00727_0006_34957_to_38216.wav,སྐུ་གཟུགས་ནི་སྔར་དང་མི་འདྲ་བའི་འཐུས་མིན་གྱི་ཁྱད་ཆོས་ཞེས་བསྔོན་ཡོང་བར་བྱ།
